hamstrings_l_a,bifemsh_l_a,glut_max_l_a,iliopsoas_l_a,rect_fem_l_a,vasti_l_a,gastroc_l_a,soleus_l_a,tib_ant_l_a,hamstrings_r_a,bifemsh_r_a,glut_max_r_a,iliopsoas_r_a,rect_fem_r_a,vasti_r_a,gastroc_r_a,soleus_r_a,tib_ant_r_a
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.044679650166,0.044679650166,0.044679650166,0.044679650166,0.044679650166,0.044679650166,0.044679650166,0.044679650166,0.044679650166,0.044679650166,0.044679650166,0.044679650166,0.044679650166,0.044679650166,0.044679650166,0.044679650166,0.044679650166,0.044679650166
0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924,0.0401225611924
0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245,0.0362058114245
0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108,0.0328294780108
0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543,0.0299115873543
0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736,0.0273843455736
0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866,0.0251912840866
0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136,0.0232850698136
0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808,0.0216258050808
0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483,0.0201796930483
0.018917979449,0.018917979449,0.018917979449,0.018917979449,0.018917979449,0.018917979449,0.018917979449,0.018917979449,0.018917979449,0.018917979449,0.018917979449,0.018917979449,0.018917979449,0.018917979449,0.018917979449,0.018917979449,0.018917979449,0.018917979449
0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712,0.0178161054712
0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053,0.0168530238053
0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956,0.0160106419956
0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383,0.0152733660383
0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437,0.0146277236437
0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065,0.0140620513065
0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047,0.0135662329047
0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744,0.0131314801744
0.0127501475019,0.0127501475019,0.0127501475019,0.0127501475019,0.0127501475019,0.99,0.0127501475019,0.0127501475019,0.0127501475019,0.0127501475019,0.0127501475019,0.0127501475019,0.0127501475019,0.0127501475019,0.0127501475019,0.0127501475019,0.0127501475019,0.0127501475019
0.0124155749673,0.0124155749673,0.0124155749673,0.0124155749673,0.0124155749673,0.650685542941,0.0124155749673,0.0124155749673,0.0124155749673,0.0124155749673,0.0124155749673,0.0124155749673,0.0124155749673,0.0124155749673,0.0124155749673,0.0124155749673,0.0124155749673,0.0124155749673
0.0121219548249,0.0121219548249,0.0121219548249,0.0121219548249,0.0121219548249,0.469663668922,0.0121219548249,0.0121219548249,0.0121219548249,0.0121219548249,0.0121219548249,0.0121219548249,0.0121219548249,0.0121219548249,0.0121219548249,0.0121219548249,0.0121219548249,0.0121219548249
0.0118642174982,0.0118642174982,0.0118642174982,0.0118642174982,0.0118642174982,0.357869587904,0.0118642174982,0.0118642174982,0.0118642174982,0.0118642174982,0.0118642174982,0.0118642174982,0.0118642174982,0.0118642174982,0.0118642174982,0.0118642174982,0.0118642174982,0.0118642174982
0.0116379339482,0.0116379339482,0.0116379339482,0.0116379339482,0.0116379339482,0.282491229754,0.0116379339482,0.0116379339482,0.0116379339482,0.0116379339482,0.0116379339482,0.0116379339482,0.0116379339482,0.0116379339482,0.0116379339482,0.0116379339482,0.0116379339482,0.0116379339482
0.0114392317993,0.0114392317993,0.0114392317993,0.0114392317993,0.0114392317993,0.228612163041,0.0114392317993,0.0114392317993,0.0114392317993,0.0114392317993,0.0114392317993,0.0114392317993,0.0114392317993,0.0114392317993,0.0114392317993,0.0114392317993,0.0114392317993,0.0114392317993
0.0112647231127,0.0112647231127,0.0112647231127,0.0112647231127,0.0112647231127,0.188473963228,0.0112647231127,0.0112647231127,0.0112647231127,0.0112647231127,0.0112647231127,0.0112647231127,0.0112647231127,0.0112647231127,0.0112647231127,0.0112647231127,0.0112647231127,0.0112647231127
0.0111114420377,0.0111114420377,0.0111114420377,0.0111114420377,0.0111114420377,0.157641544773,0.0111114420377,0.0111114420377,0.0111114420377,0.0111114420377,0.0111114420377,0.0111114420377,0.0111114420377,0.0111114420377,0.0111114420377,0.0111114420377,0.0111114420377,0.0111114420377
0.0109767908798,0.0109767908798,0.0109767908798,0.0109767908798,0.0109767908798,0.133395194155,0.0109767908798,0.0109767908798,0.0109767908798,0.0109767908798,0.0109767908798,0.0109767908798,0.0109767908798,0.0109767908798,0.0109767908798,0.0109767908798,0.0109767908798,0.0109767908798
